oper,para
GT PLUG ETCH CD,CD_TOP
GT PLUG ETCH CD,CD_BTM
GT PLUG ETCH CD,DEPTH
GT PLUG ETCH CD,TILT
GT PLUG ETCH CD,PRESSURE
BLC ETCH CD HV,CD_TOP
BLC ETCH CD HV,CD_MID
BLC ETCH CD HV,PROFILE
BLC ETCH CD HV,VOLTAGE
BLC ETCH CD HV,CURRENT
STI CMP THK,THK_CENTER
STI CMP THK,THK_EDGE
STI CMP THK,UNIFORMITY
STI CMP THK,PRESSURE
STI CMP THK,REMOVAL_RATE
METAL CVD RATE,DEP_RATE
METAL CVD RATE,TEMP
METAL CVD RATE,FLOW_RATE
METAL CVD RATE,THK
METAL CVD RATE,RESISTIVITY
GATE OX THK,THK
GATE OX THK,UNIFORMITY
GATE OX THK,TEMP
GATE OX THK,O2_FLOW
GATE OX THK,BREAKDOWN_V
SPACER DEP CD,CD
SPACER DEP CD,THK
SPACER DEP CD,PROFILE
SPACER DEP CD,TEMP
SPACER DEP CD,DEP_RATE
ILD CMP UNIF,UNIFORMITY
ILD CMP UNIF,THK_PRE
ILD CMP UNIF,THK_POST
ILD CMP UNIF,PRESSURE
ILD CMP UNIF,REMOVAL_RATE
CONTACT ETCH DEPTH,DEPTH
CONTACT ETCH DEPTH,CD
CONTACT ETCH DEPTH,PROFILE
CONTACT ETCH DEPTH,SELECTIVITY
CONTACT ETCH DEPTH,PRESSURE
PMD DEP RATE,DEP_RATE
PMD DEP RATE,THK
PMD DEP RATE,STRESS
PMD DEP RATE,TEMP
PMD DEP RATE,FLOW_RATE
BARRIER ALD THK,THK
BARRIER ALD THK,UNIFORMITY
BARRIER ALD THK,RESISTIVITY
BARRIER ALD THK,TEMP
BARRIER ALD THK,CYCLE_TIME
W PLUG FILL,FILL_RATE
W PLUG FILL,VOID_RATIO
W PLUG FILL,THK
W PLUG FILL,RESISTIVITY
W PLUG FILL,TEMP
POLY ETCH CD,CD
POLY ETCH CD,PROFILE
POLY ETCH CD,DEPTH
POLY ETCH CD,SELECTIVITY
POLY ETCH CD,PRESSURE
HM STRIP RATE,STRIP_RATE
HM STRIP RATE,UNIFORMITY
HM STRIP RATE,TEMP
HM STRIP RATE,FLOW_RATE
HM STRIP RATE,PRESSURE
DIFF ANNEAL TEMP,TEMP
DIFF ANNEAL TEMP,RAMP_RATE
DIFF ANNEAL TEMP,SOAK_TIME
DIFF ANNEAL TEMP,SHEET_RS
DIFF ANNEAL TEMP,UNIFORMITY
ION IMP DOSE,DOSE
ION IMP DOSE,ENERGY
ION IMP DOSE,TILT
ION IMP DOSE,TWIST
ION IMP DOSE,UNIFORMITY
