oper,related_oper,related_para
GT PLUG ETCH CD,BLC ETCH CD HV,CD_TOP
GT PLUG ETCH CD,BLC ETCH CD HV,CD_BTM
GT PLUG ETCH CD,BLC ETCH CD HV,DEPTH
GT PLUG ETCH CD,POLY ETCH CD,CD_TOP
GT PLUG ETCH CD,POLY ETCH CD,CD_BTM
GT PLUG ETCH CD,POLY ETCH CD,DEPTH
BLC ETCH CD HV,GT PLUG ETCH CD,CD_TOP
BLC ETCH CD HV,GT PLUG ETCH CD,VOLTAGE
BLC ETCH CD HV,GT PLUG ETCH CD,CURRENT
BLC ETCH CD HV,CONTACT ETCH DEPTH,CD_TOP
BLC ETCH CD HV,CONTACT ETCH DEPTH,VOLTAGE
BLC ETCH CD HV,CONTACT ETCH DEPTH,CURRENT
STI CMP THK,ILD CMP UNIF,THK_CENTER
STI CMP THK,ILD CMP UNIF,UNIFORMITY
STI CMP THK,ILD CMP UNIF,REMOVAL_RATE
STI CMP THK,GATE OX THK,THK_CENTER
STI CMP THK,GATE OX THK,UNIFORMITY
STI CMP THK,GATE OX THK,REMOVAL_RATE
METAL CVD RATE,BARRIER ALD THK,DEP_RATE
METAL CVD RATE,BARRIER ALD THK,THK
METAL CVD RATE,BARRIER ALD THK,RESISTIVITY
METAL CVD RATE,W PLUG FILL,DEP_RATE
METAL CVD RATE,W PLUG FILL,THK
METAL CVD RATE,W PLUG FILL,RESISTIVITY
GATE OX THK,STI CMP THK,THK
GATE OX THK,STI CMP THK,TEMP
GATE OX THK,STI CMP THK,UNIFORMITY
GATE OX THK,DIFF ANNEAL TEMP,THK
GATE OX THK,DIFF ANNEAL TEMP,TEMP
GATE OX THK,DIFF ANNEAL TEMP,UNIFORMITY
SPACER DEP CD,POLY ETCH CD,CD
SPACER DEP CD,POLY ETCH CD,THK
SPACER DEP CD,POLY ETCH CD,PROFILE
SPACER DEP CD,GATE OX THK,CD
SPACER DEP CD,GATE OX THK,THK
SPACER DEP CD,GATE OX THK,PROFILE
ILD CMP UNIF,STI CMP THK,UNIFORMITY
ILD CMP UNIF,STI CMP THK,REMOVAL_RATE
ILD CMP UNIF,STI CMP THK,PRESSURE
ILD CMP UNIF,PMD DEP RATE,UNIFORMITY
ILD CMP UNIF,PMD DEP RATE,REMOVAL_RATE
ILD CMP UNIF,PMD DEP RATE,PRESSURE
CONTACT ETCH DEPTH,BLC ETCH CD HV,DEPTH
CONTACT ETCH DEPTH,BLC ETCH CD HV,CD
CONTACT ETCH DEPTH,BLC ETCH CD HV,SELECTIVITY
CONTACT ETCH DEPTH,W PLUG FILL,DEPTH
CONTACT ETCH DEPTH,W PLUG FILL,CD
CONTACT ETCH DEPTH,W PLUG FILL,SELECTIVITY
PMD DEP RATE,ILD CMP UNIF,DEP_RATE
PMD DEP RATE,ILD CMP UNIF,THK
PMD DEP RATE,ILD CMP UNIF,STRESS
PMD DEP RATE,METAL CVD RATE,DEP_RATE
PMD DEP RATE,METAL CVD RATE,THK
PMD DEP RATE,METAL CVD RATE,STRESS
BARRIER ALD THK,METAL CVD RATE,THK
BARRIER ALD THK,METAL CVD RATE,UNIFORMITY
BARRIER ALD THK,METAL CVD RATE,RESISTIVITY
BARRIER ALD THK,W PLUG FILL,THK
BARRIER ALD THK,W PLUG FILL,UNIFORMITY
BARRIER ALD THK,W PLUG FILL,RESISTIVITY
W PLUG FILL,BARRIER ALD THK,FILL_RATE
W PLUG FILL,BARRIER ALD THK,VOID_RATIO
W PLUG FILL,BARRIER ALD THK,RESISTIVITY
W PLUG FILL,CONTACT ETCH DEPTH,FILL_RATE
W PLUG FILL,CONTACT ETCH DEPTH,VOID_RATIO
W PLUG FILL,CONTACT ETCH DEPTH,RESISTIVITY
POLY ETCH CD,GT PLUG ETCH CD,CD
POLY ETCH CD,GT PLUG ETCH CD,PROFILE
POLY ETCH CD,GT PLUG ETCH CD,DEPTH
POLY ETCH CD,SPACER DEP CD,CD
POLY ETCH CD,SPACER DEP CD,PROFILE
POLY ETCH CD,SPACER DEP CD,DEPTH
HM STRIP RATE,POLY ETCH CD,STRIP_RATE
HM STRIP RATE,POLY ETCH CD,UNIFORMITY
HM STRIP RATE,POLY ETCH CD,TEMP
HM STRIP RATE,GT PLUG ETCH CD,STRIP_RATE
HM STRIP RATE,GT PLUG ETCH CD,UNIFORMITY
HM STRIP RATE,GT PLUG ETCH CD,TEMP
DIFF ANNEAL TEMP,GATE OX THK,TEMP
DIFF ANNEAL TEMP,GATE OX THK,SHEET_RS
DIFF ANNEAL TEMP,GATE OX THK,UNIFORMITY
DIFF ANNEAL TEMP,ION IMP DOSE,TEMP
DIFF ANNEAL TEMP,ION IMP DOSE,SHEET_RS
DIFF ANNEAL TEMP,ION IMP DOSE,UNIFORMITY
ION IMP DOSE,DIFF ANNEAL TEMP,DOSE
ION IMP DOSE,DIFF ANNEAL TEMP,ENERGY
ION IMP DOSE,DIFF ANNEAL TEMP,UNIFORMITY
ION IMP DOSE,POLY ETCH CD,DOSE
ION IMP DOSE,POLY ETCH CD,ENERGY
ION IMP DOSE,POLY ETCH CD,UNIFORMITY
