oper,para,end_tm,value
OP001,TEMP,2025-01-01 00:00:00,26.62
OP001,TEMP,2025-01-01 06:00:00,30.35
OP001,TEMP,2025-01-01 12:00:00,26.92
OP001,TEMP,2025-01-01 18:00:00,23.67
OP001,TEMP,2025-01-02 00:00:00,25.75
OP001,TEMP,2025-01-02 06:00:00,30.75
OP001,TEMP,2025-01-02 12:00:00,29.38
OP001,TEMP,2025-01-02 18:00:00,22.76
OP001,TEMP,2025-01-03 00:00:00,25.82
OP001,TEMP,2025-01-03 06:00:00,32.85
OP001,TEMP,2025-01-03 12:00:00,25.84
OP001,TEMP,2025-01-03 18:00:00,20.83
OP001,TEMP,2025-01-04 00:00:00,27.71
OP001,TEMP,2025-01-04 06:00:00,28.4
OP001,TEMP,2025-01-04 12:00:00,23.78
OP001,TEMP,2025-01-04 18:00:00,21.1
OP001,TEMP,2025-01-05 00:00:00,25.57
OP001,TEMP,2025-01-05 06:00:00,33.23
OP001,TEMP,2025-01-05 12:00:00,25.78
OP001,TEMP,2025-01-05 18:00:00,19.77
OP001,TEMP,2025-01-06 00:00:00,30.78
OP001,TEMP,2025-01-06 06:00:00,32.4
OP001,TEMP,2025-01-06 12:00:00,27.99
OP001,TEMP,2025-01-06 18:00:00,20.0
OP001,TEMP,2025-01-07 00:00:00,26.89
OP001,TEMP,2025-01-07 06:00:00,33.21
OP001,TEMP,2025-01-07 12:00:00,25.68
OP001,TEMP,2025-01-07 18:00:00,23.73
OP001,TEMP,2025-01-08 00:00:00,26.78
OP001,TEMP,2025-01-08 06:00:00,32.4
OP001,TEMP,2025-01-08 12:00:00,26.78
OP001,TEMP,2025-01-08 18:00:00,26.69
OP001,TEMP,2025-01-09 00:00:00,27.83
OP001,TEMP,2025-01-09 06:00:00,30.74
OP001,TEMP,2025-01-09 12:00:00,29.5
OP001,TEMP,2025-01-09 18:00:00,20.41
OP001,TEMP,2025-01-10 00:00:00,28.02
OP001,TEMP,2025-01-10 06:00:00,28.68
OP001,TEMP,2025-01-10 12:00:00,24.94
OP001,TEMP,2025-01-10 18:00:00,22.99
OP001,TEMP,2025-01-11 00:00:00,28.71
OP001,TEMP,2025-01-11 06:00:00,32.57
OP001,TEMP,2025-01-11 12:00:00,27.0
OP001,TEMP,2025-01-11 18:00:00,21.63
OP001,TEMP,2025-01-12 00:00:00,23.81
OP001,TEMP,2025-01-12 06:00:00,30.32
OP001,TEMP,2025-01-12 12:00:00,25.84
OP001,TEMP,2025-01-12 18:00:00,23.88
OP001,TEMP,2025-01-13 00:00:00,26.91
OP001,TEMP,2025-01-13 06:00:00,27.69
OP001,TEMP,2025-01-13 12:00:00,26.87
OP001,TEMP,2025-01-13 18:00:00,20.45
OP001,TEMP,2025-01-14 00:00:00,24.27
OP001,TEMP,2025-01-14 06:00:00,31.85
OP001,TEMP,2025-01-14 12:00:00,27.69
OP001,TEMP,2025-01-14 18:00:00,22.49
OP001,TEMP,2025-01-15 00:00:00,23.32
OP001,TEMP,2025-01-15 06:00:00,29.38
OP001,TEMP,2025-01-15 12:00:00,25.66
OP001,TEMP,2025-01-15 18:00:00,21.95
OP001,TEMP,2025-01-16 00:00:00,23.42
OP001,TEMP,2025-01-16 06:00:00,29.0
OP001,TEMP,2025-01-16 12:00:00,22.16
OP001,TEMP,2025-01-16 18:00:00,16.98
OP001,TEMP,2025-01-17 00:00:00,25.4
OP001,TEMP,2025-01-17 06:00:00,31.49
OP001,TEMP,2025-01-17 12:00:00,23.64
OP001,TEMP,2025-01-17 18:00:00,20.79
OP001,TEMP,2025-01-18 00:00:00,23.96
OP001,TEMP,2025-01-18 06:00:00,26.95
OP001,TEMP,2025-01-18 12:00:00,23.96
OP001,TEMP,2025-01-18 18:00:00,21.31
OP001,TEMP,2025-01-19 00:00:00,22.7
OP001,TEMP,2025-01-19 06:00:00,30.9
OP001,TEMP,2025-01-19 12:00:00,17.53
OP001,TEMP,2025-01-19 18:00:00,19.41
OP001,TEMP,2025-01-20 00:00:00,22.58
OP001,TEMP,2025-01-20 06:00:00,26.8
OP001,TEMP,2025-01-20 12:00:00,22.59
OP001,TEMP,2025-01-20 18:00:00,13.43
OP001,TEMP,2025-01-21 00:00:00,21.71
OP001,TEMP,2025-01-21 06:00:00,27.86
OP001,TEMP,2025-01-21 12:00:00,25.1
OP001,TEMP,2025-01-21 18:00:00,16.11
OP001,TEMP,2025-01-22 00:00:00,20.4
OP001,TEMP,2025-01-22 06:00:00,26.01
OP001,TEMP,2025-01-22 12:00:00,23.85
OP001,TEMP,2025-01-22 18:00:00,17.67
OP001,TEMP,2025-01-23 00:00:00,20.96
OP001,TEMP,2025-01-23 06:00:00,28.04
OP001,TEMP,2025-01-23 12:00:00,22.21
OP001,TEMP,2025-01-23 18:00:00,18.95
